alpha_1,alpha_2,alpha_3,w_s1,w_s2,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance
0.0,0.0,1.0,0.4,0.6,1.4090881531207842,1.1366686519753795,0.06032531668938882,0.014789589723926376,75.48,0.3825385595019103,0.8745226496825692,19084.66666666667,11,1480,108136.0
0.0,0.0,1.0,0.3,0.7,1.4090881531207842,1.1366686519753795,0.06032531668938882,0.014789589723926376,75.48,0.3825385595019103,0.8745226496825692,19084.66666666667,11,1480,108136.0
0.0,0.0,1.0,0.6,0.4,1.4090881531207842,1.1366686519753795,0.06032531668938882,0.014789589723926376,75.48,0.3825385595019103,0.8745226496825692,19084.66666666667,11,1480,108136.0
0.0,0.0,1.0,0.7,0.3,1.4090881531207842,1.1366686519753795,0.06032531668938882,0.014789589723926376,75.48,0.3825385595019103,0.8745226496825692,19084.66666666667,11,1480,108136.0
0.0,0.0,1.0,0.1,0.9,1.4090881531207842,1.1366686519753795,0.06032531668938882,0.014789589723926376,75.48,0.3825385595019103,0.8745226496825692,19084.66666666667,11,1480,108136.0
0.0,0.0,1.0,0.0,1.0,1.4090881531207842,1.1366686519753795,0.06032531668938882,0.014789589723926376,75.48,0.3825385595019103,0.8745226496825692,19084.66666666667,11,1480,108136.0
0.0,0.0,1.0,0.5,0.5,1.4090881531207842,1.1366686519753795,0.06032531668938882,0.014789589723926376,75.48,0.3825385595019103,0.8745226496825692,19084.66666666667,11,1480,108136.0
0.0,0.0,1.0,0.2,0.8,1.4090881531207842,1.1366686519753795,0.06032531668938882,0.014789589723926376,75.48,0.3825385595019103,0.8745226496825692,19084.66666666667,11,1480,108136.0
0.0,0.05,0.95,0.0,1.0,1.020717478371909,1.0916815564820308,0.06032531668938882,0.005675183907066575,90.59,0.3843062443383335,0.656111870534605,18329.333333333347,7,1364,100121.0
0.0,0.0,1.0,0.9,0.1,1.4090881531207842,1.1366686519753795,0.06032531668938882,0.014789589723926376,75.48,0.3825385595019103,0.8745226496825692,19084.66666666667,11,1480,108136.0
0.0,0.0,1.0,1.0,0.0,1.4090881531207842,1.1366686519753795,0.06032531668938882,0.014789589723926376,75.48,0.3825385595019103,0.8745226496825692,19084.66666666667,11,1480,108136.0
0.0,0.05,0.95,0.2,0.8,1.6253841664860167,1.1236053206273555,0.06032531668938882,0.003544986224721654,94.12,0.38876732044381457,0.9900817855104751,18865.333333333347,13,1426,105887.0
0.0,0.0,1.0,0.8,0.2,1.4090881531207842,1.1366686519753795,0.06032531668938882,0.014789589723926376,75.48,0.3825385595019103,0.8745226496825692,19084.66666666667,11,1480,108136.0
0.0,0.05,0.95,0.1,0.9,1.588705964564422,1.1222553107008113,0.06032531668938882,0.004314697653942285,92.85,0.3906388174569404,0.9702593370873493,18842.66666666667,13,1415,105576.0
0.0,0.05,0.95,0.3,0.7,1.5876466424314633,1.1228906094897735,0.06032531668938882,0.004921093927516472,91.84,0.38700134037337913,0.9695266460273864,18853.333333333347,12,1414,104519.0
0.0,0.05,0.95,0.4,0.6,1.5938353414289284,1.1261465157832016,0.06032531668938882,0.0031814324869347864,94.73,0.3892765750926525,0.9727988508304165,18908.000000000004,13,1424,105877.0
0.0,0.1,0.9,0.0,1.0,0.9270474848230308,1.0821123684732958,0.06032531668938882,0.005183818308339013,91.41,0.391415835413946,0.6046784641102281,18168.666666666686,7,1319,98609.0
0.0,0.1,0.9,0.1,0.9,1.5710820104090617,1.1278141751042268,0.06032531668938882,0.005085829214951146,91.57,0.3937505194049697,0.9613866151851777,18936.00000000002,11,1386,104236.0
0.0,0.05,0.95,0.5,0.5,1.741635082045506,1.1240023823704564,0.06032531668938882,0.003915640621449669,93.51,0.38891544104335485,1.0541656505343213,18872.00000000001,15,1446,107413.0
0.0,0.05,0.95,0.9,0.1,1.8288411441326193,1.1201508834623763,0.06032531668938882,0.003488180953192456,94.22,0.3858332883539339,1.1014999565674108,18807.333333333347,19,1455,107225.0
0.0,0.05,0.95,0.8,0.2,1.8445393124751464,1.1405598570577704,0.06032531668938882,0.0041655838161781394,93.09,0.38389854310549704,1.111164144169622,19150.000000000015,13,1454,106614.0
